,index,0,1,2,3,4,5,6,7
0,29,14.49,14.61,0.8538,5.715,3.113,4.116,5.396,M
1,19,11.24,13.0,0.8359,5.09,2.715,3.521,5.088,L
2,135,12.15,13.45,0.8443,5.417,2.837,3.638,5.338,L
3,139,19.94,16.92,0.8752,6.675,3.763,3.252,6.55,F
4,66,11.87,13.02,0.8795,5.132,2.953,3.597,5.132,L
5,65,15.69,14.75,0.9058,5.527,3.514,1.599,5.046,M
6,5,16.63,15.46,0.8747,6.053,3.465,2.04,5.877,M
7,146,19.11,16.26,0.9081,6.154,3.93,2.936,6.079,F
8,56,13.84,13.94,0.8955,5.324,3.379,2.259,4.805,M
9,97,11.19,13.05,0.8253,5.25,2.675,5.813,5.219,L
10,128,14.29,14.09,0.905,5.291,3.337,2.699,4.825,M
11,79,21.18,17.21,0.8989,6.573,4.033,5.78,6.231,F
12,205,10.79,12.93,0.8107,5.317,2.648,5.462,5.194,L
13,208,12.76,13.38,0.8964,5.073,3.155,2.828,4.83,L
14,31,11.21,13.13,0.8167,5.279,2.687,6.169,5.275,L
15,12,13.8,14.04,0.8794,5.376,3.155,1.56,4.961,M
16,35,16.82,15.51,0.8786,6.017,3.486,4.004,5.841,F
17,28,12.22,13.32,0.8652,5.224,2.967,5.469,5.221,L
18,42,19.38,16.72,0.8716,6.303,3.791,3.678,5.965,F
19,115,11.56,13.31,0.8198,5.363,2.683,4.062,5.182,L
20,98,15.99,14.89,0.9064,5.363,3.582,3.336,5.144,F
21,143,11.42,12.86,0.8683,5.008,2.85,2.7,4.607,M
22,51,18.72,16.34,0.881,6.219,3.684,2.188,6.097,F
23,118,15.26,14.84,0.871,5.763,3.312,2.221,5.22,M
24,170,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,L
25,76,13.99,13.83,0.9183,5.119,3.383,5.234,4.781,M
26,41,18.59,16.05,0.9066,6.037,3.86,6.001,5.877,F
27,203,15.01,14.76,0.8657,5.789,3.245,1.791,5.001,M
28,78,11.02,13.0,0.8189,5.325,2.701,6.735,5.163,L
29,124,13.34,13.95,0.862,5.389,3.074,5.995,5.307,L
30,26,15.05,14.68,0.8779,5.712,3.328,2.129,5.36,M
31,140,10.8,12.57,0.859,4.981,2.821,4.773,5.063,L
32,178,11.14,12.79,0.8558,5.011,2.794,6.388,5.049,L
33,122,14.79,14.52,0.8819,5.545,3.291,2.704,5.111,M
34,2,14.11,14.26,0.8722,5.52,3.168,2.688,5.219,M
35,77,12.36,13.19,0.8923,5.076,3.042,3.22,4.605,M
36,46,12.74,13.67,0.8564,5.395,2.956,2.504,4.869,M
37,127,18.98,16.66,0.859,6.549,3.67,3.691,6.498,F
38,112,14.86,14.67,0.8676,5.678,3.258,2.129,5.351,M
39,90,12.01,13.52,0.8249,5.405,2.776,6.992,5.27,L
40,85,18.96,16.2,0.9077,6.051,3.897,4.334,5.75,F
41,141,14.01,14.29,0.8625,5.609,3.158,2.217,5.132,M
42,36,11.18,13.04,0.8266,5.22,2.693,3.332,5.001,L
43,119,18.72,16.19,0.8977,6.006,3.857,5.324,5.879,F
44,61,13.45,14.02,0.8604,5.516,3.065,3.531,5.097,M
45,22,11.18,12.72,0.868,5.009,2.81,4.051,4.828,L
46,138,13.89,14.02,0.888,5.439,3.199,3.986,4.738,M
47,111,14.28,14.17,0.8944,5.397,3.298,6.685,5.001,M
48,33,17.36,15.76,0.8785,6.145,3.574,3.526,5.971,F
49,11,11.36,13.05,0.8382,5.175,2.755,4.048,5.263,L
50,204,17.63,15.86,0.88,6.033,3.573,3.747,5.929,F
51,167,16.17,15.38,0.8588,5.762,3.387,4.286,5.703,F
52,6,19.18,16.63,0.8717,6.369,3.681,3.357,6.229,F
53,27,19.13,16.31,0.9035,6.183,3.902,2.109,5.924,F
54,171,17.26,15.73,0.8763,5.978,3.594,4.539,5.791,F
55,201,12.7,13.41,0.8874,5.183,3.091,8.456,5.0,L
56,144,12.02,13.33,0.8503,5.35,2.81,4.271,5.308,L
57,4,12.7,13.71,0.8491,5.386,2.911,3.26,5.316,L
58,32,15.57,15.15,0.8527,5.92,3.231,2.64,5.879,F
59,113,12.49,13.46,0.8658,5.267,2.967,4.421,5.002,L
60,152,11.81,13.45,0.8198,5.413,2.716,4.898,5.352,L
61,120,18.36,16.52,0.8452,6.666,3.485,4.933,6.448,F
62,194,14.88,14.57,0.8811,5.554,3.333,1.018,4.956,M
63,114,14.16,14.4,0.8584,5.658,3.129,3.072,5.176,M
64,10,18.17,16.26,0.8637,6.271,3.512,2.853,6.273,F
65,62,16.84,15.67,0.8623,5.998,3.484,4.675,5.877,F
66,148,12.88,13.5,0.8879,5.139,3.119,2.352,4.607,M
67,153,16.77,15.62,0.8638,5.927,3.438,4.92,5.795,F
68,176,20.71,17.23,0.8763,6.579,3.814,4.451,6.451,F
69,0,14.33,14.28,0.8831,5.504,3.199,3.328,5.224,M
70,189,18.81,16.29,0.8906,6.272,3.693,3.237,6.053,F
71,184,10.74,12.73,0.8329,5.145,2.642,4.702,4.963,L
72,70,17.98,15.85,0.8993,5.979,3.687,2.257,5.919,F
73,163,15.38,14.77,0.8857,5.662,3.419,1.999,5.222,M
74,64,17.08,15.38,0.9079,5.832,3.683,2.956,5.484,M
75,44,18.55,16.22,0.8865,6.153,3.674,1.738,5.894,F
76,137,15.36,14.76,0.8861,5.701,3.393,1.367,5.132,M
77,40,14.43,14.4,0.8751,5.585,3.272,3.975,5.144,M
78,123,15.78,14.91,0.8923,5.674,3.434,5.593,5.136,M
79,23,15.56,14.89,0.8823,5.776,3.408,4.972,5.847,F
80,158,18.83,16.29,0.8917,6.037,3.786,2.553,5.879,F
81,154,13.02,13.76,0.8641,5.395,3.026,3.373,4.825,M
82,81,18.98,16.57,0.8687,6.449,3.552,2.144,6.453,F
83,39,13.07,13.92,0.848,5.472,2.994,5.304,5.395,L
84,177,17.63,15.98,0.8673,6.191,3.561,4.076,6.06,F
85,47,11.26,13.01,0.8355,5.186,2.71,5.335,5.092,L
86,94,14.46,14.35,0.8818,5.388,3.377,2.802,5.044,M
87,161,13.37,13.78,0.8849,5.32,3.128,4.67,5.091,L
88,43,13.5,13.85,0.8852,5.351,3.158,2.249,5.176,M
89,145,12.79,13.53,0.8786,5.224,3.054,5.483,4.958,L
90,3,14.09,14.41,0.8529,5.717,3.186,3.92,5.299,M
91,105,19.57,16.74,0.8779,6.384,3.772,1.472,6.273,F
92,53,12.11,13.27,0.8639,5.236,2.975,4.132,5.012,L
93,133,12.72,13.57,0.8686,5.226,3.049,4.102,4.914,M
94,190,12.37,13.47,0.8567,5.204,2.96,3.919,5.001,L
95,164,16.19,15.16,0.8849,5.833,3.421,0.903,5.307,M
96,195,12.05,13.41,0.8416,5.267,2.847,4.988,5.046,L
97,49,14.92,14.43,0.9006,5.384,3.412,1.142,5.088,M
98,80,12.19,13.2,0.8783,5.137,2.981,3.631,4.87,L
99,34,10.59,12.41,0.8648,4.899,2.787,4.975,4.794,L
100,7,15.11,14.54,0.8986,5.579,3.462,3.128,5.18,M
101,110,13.22,13.84,0.868,5.395,3.07,4.157,5.088,M
102,91,16.87,15.65,0.8648,6.139,3.463,3.696,5.967,F
103,83,17.99,15.86,0.8992,5.89,3.694,2.068,5.837,F
104,186,14.11,14.1,0.8911,5.42,3.302,2.7,5.0,M
105,191,14.37,14.39,0.8726,5.569,3.153,1.464,5.3,M
106,89,11.48,13.05,0.8473,5.18,2.758,5.876,5.002,L
107,8,14.38,14.21,0.8951,5.386,3.312,2.462,4.956,M
108,13,16.41,15.25,0.8866,5.718,3.525,4.217,5.618,F
109,59,15.5,14.86,0.882,5.877,3.396,4.711,5.528,M
110,181,15.38,14.9,0.8706,5.884,3.268,4.462,5.795,F
111,131,12.21,13.47,0.8453,5.357,2.893,1.661,5.178,L
112,17,14.69,14.49,0.8799,5.563,3.259,3.586,5.219,M
113,166,17.32,15.91,0.8599,6.064,3.403,3.824,5.922,F
114,72,18.76,16.2,0.8984,6.172,3.796,3.12,6.053,F
115,185,19.14,16.61,0.8722,6.259,3.737,6.682,6.053,F
116,134,11.41,12.95,0.856,5.09,2.775,4.957,4.825,L
117,175,15.26,14.85,0.8696,5.714,3.242,4.543,5.314,M
118,193,12.26,13.6,0.8333,5.408,2.833,4.756,5.36,L
119,63,11.49,13.22,0.8263,5.304,2.695,5.388,5.31,L
120,54,11.75,13.52,0.8082,5.444,2.678,4.378,5.31,L
121,107,18.94,16.32,0.8942,6.144,3.825,2.908,5.949,F
122,50,15.6,15.11,0.858,5.832,3.286,2.725,5.752,F
123,174,18.27,16.09,0.887,6.173,3.651,2.443,6.197,F
124,206,11.23,12.88,0.8511,5.14,2.795,4.325,5.003,L
125,169,19.51,16.71,0.878,6.366,3.801,2.962,6.185,F
126,58,18.85,16.17,0.9056,6.152,3.806,2.843,6.2,F
127,48,10.91,12.8,0.8372,5.088,2.675,4.179,4.956,L
128,88,13.78,14.06,0.8759,5.479,3.156,3.136,4.872,M
129,21,16.14,14.99,0.9034,5.658,3.562,1.355,5.175,M
130,57,13.94,14.17,0.8728,5.585,3.15,2.124,5.012,M
131,160,12.55,13.57,0.8558,5.333,2.968,4.419,5.176,L
132,202,12.11,13.47,0.8392,5.159,3.032,1.502,4.519,M
133,129,16.16,15.33,0.8644,5.845,3.395,4.266,5.795,F
134,37,19.15,16.45,0.889,6.245,3.815,3.084,6.185,F
135,157,16.53,15.34,0.8823,5.875,3.467,5.532,5.88,F
136,198,11.65,13.07,0.8575,5.108,2.85,5.209,5.135,L
137,1,12.13,13.73,0.8081,5.394,2.745,4.825,5.22,L
138,52,19.06,16.45,0.8854,6.416,3.719,2.248,6.163,F
139,149,18.88,16.26,0.8969,6.084,3.764,1.649,6.109,F
140,130,11.82,13.4,0.8274,5.314,2.777,4.471,5.178,L
141,151,16.44,15.25,0.888,5.884,3.505,1.969,5.533,M
142,103,19.31,16.59,0.8815,6.341,3.81,3.477,6.238,F
143,99,12.54,13.67,0.8425,5.451,2.879,3.082,5.491,L
144,116,12.38,13.44,0.8609,5.219,2.989,5.472,5.045,L
145,87,17.55,15.66,0.8991,5.791,3.69,5.366,5.661,F
146,74,18.43,15.97,0.9077,5.98,3.771,2.984,5.905,F
147,121,16.12,15.0,0.9,5.709,3.485,2.27,5.443,M
148,209,18.89,16.23,0.9008,6.227,3.769,3.639,5.966,F
149,20,13.16,13.55,0.9009,5.138,3.201,2.461,4.783,M
150,188,12.46,13.41,0.8706,5.236,3.017,4.987,5.147,L
151,71,12.8,13.47,0.886,5.16,3.126,4.873,4.914,L
152,106,20.24,16.91,0.8897,6.315,3.962,5.901,6.188,F
153,14,12.78,13.57,0.8716,5.262,3.026,1.176,4.782,M
154,92,12.73,13.75,0.8458,5.412,2.882,3.533,5.067,M
155,179,11.35,13.12,0.8291,5.176,2.668,4.337,5.132,L
156,102,15.49,14.94,0.8724,5.757,3.371,3.412,5.228,M
